pk,category,subid,main_category
86,Chinese Restaurant,4bf58dd8d48988d145941735,Food
86,Flower Shop,4bf58dd8d48988d11b951735,Shop & Service
86,Steakhouse,4bf58dd8d48988d1cc941735,Food
86,Playground,4bf58dd8d48988d1e7941735,Outdoors & Recreation
86,Malay Restaurant,4bf58dd8d48988d156941735,Food
86,Coffee Shop,4bf58dd8d48988d1e0931735,Food
86,Asian Restaurant,4bf58dd8d48988d142941735,Food
86,Asian Restaurant,4bf58dd8d48988d142941735,Food
86,Clothing Store,4bf58dd8d48988d103951735,Shop & Service
87,Surf Spot,4bf58dd8d48988d1e3941735,Outdoors & Recreation
87,Gym Pool,4bf58dd8d48988d105941735,Outdoors & Recreation
87,Soccer Field,4cce455aebf7b749d5e191f5,Outdoors & Recreation
87,Playground,4bf58dd8d48988d1e7941735,Outdoors & Recreation
87,Pool,4bf58dd8d48988d15e941735,Outdoors & Recreation
87,Playground,4bf58dd8d48988d1e7941735,Outdoors & Recreation
88,Seafood Restaurant,4bf58dd8d48988d1ce941735,Food
88,Gastropub,4bf58dd8d48988d155941735,Food
88,Chinese Restaurant,4bf58dd8d48988d145941735,Food
88,Asian Restaurant,4bf58dd8d48988d142941735,Food
88,Thai Restaurant,4bf58dd8d48988d149941735,Food
88,Hakka Restaurant,52af3ac83cf9994f4e043bf3,Food
88,Bus Line,4bf58dd8d48988d12b951735,Not A Match
88,Food Court,4bf58dd8d48988d120951735,Food
88,Coffee Shop,4bf58dd8d48988d1e0931735,Food
88,Bakery,4bf58dd8d48988d16a941735,Food
88,Chinese Restaurant,4bf58dd8d48988d145941735,Food
88,Tea Room,4bf58dd8d48988d1dc931735,Food
89,Convenience Store,4d954b0ea243a5684a65b473,Shop & Service
89,Convenience Store,4d954b0ea243a5684a65b473,Shop & Service
89,Snack Place,4bf58dd8d48988d1c7941735,Food
89,Market,50be8ee891d4fa8dcc7199a7,Shop & Service
89,Food Court,4bf58dd8d48988d120951735,Food
